Kind,Identifier,Term
1,13457,"Image, Print, Photomechanical Print, Photolithograph"
1,13459,"Image, Print, Planographic Print"
1,13460,"Image, Print, Planographic Print, Lithograph"
1,13461,"Image, Print, Planographic Print, Monotype"
1,13462,"Image, Print, Relief Print"
1,13465,"Image, Print, Relief Print, Linocut"
1,13466,"Image, Print, Relief Print, Metalcut"
1,13464,"Image, Print, Relief Print, Relief Etching"
1,13467,"Image, Print, Relief Print, Vinylcut"
1,13463,"Image, Print, Relief Print, Wood Engraving"
1,13468,"Image, Print, Relief Print, Woodcut"
1,13469,"Image, Print, Screen Print"
4,29055,International
4,29052,Maine
1,13399,Map
1,13396,"Map, Cartograph, Atlas"
1,13397,"Map, Cartograph, Atlas, Plat Book"
1,13398,"Map, Cartograph, Globe"
1,13403,"Map, Land Survey"
1,13402,"Map, Plat"
1,13400,"Map, Plotting Chart"
1,13401,"Map, Road Map"
4,29021,Mount Desert
4,29022,Mount Desert Island
4,29023,Mount Desert Rock
4,29024,"Mount Desert, Bartletts Island"
4,29025,"Mount Desert, Hall Quarry"
4,29026,"Mount Desert, Northeast Harbor"
4,29027,"Mount Desert, Pretty Marsh"
4,29028,"Mount Desert, Rum Island"
4,29029,"Mount Desert, Seal Harbor"
4,29030,"Mount Desert, Somesville"
4,29031,"Mount Desert, Sound"
2,23201,"Nature, Animals"
2,23202,"Nature, Animals, Birds"
2,23203,"Nature, Animals, Cats"
2,23204,"Nature, Animals, Dogs"
2,23207,"Nature, Animals, Horses"
2,23205,"Nature, Animals, Shellfish"
2,23206,"Nature, Animals, Shellfish, Lobsters"
2,23208,"Nature, Plants"
2,23209,"Nature, Seasons"
2,23210,"Nature, Seasons, Autumn"
2,23211,"Nature, Seasons, Spring"
2,23212,"Nature, Seasons, Summer"
2,23213,"Nature, Seasons, Winter"
4,29053,New England
1,6601,"Object, 3D Printer"
2,6601,"Object, 3D Printer"
1,8792,"Object, AC-DC Converter"
2,8792,"Object, AC-DC Converter"
1,6522,"Object, Abrader"
